Handle,Profession
JeanHouston,Futurist
jenjarratt,Futurist
Superforecastr,Futurist
cjjuech,Futurist
jesskimball,Futurist
RitaJKing,Futurist
mkonovalenko,Futurist
imankouvalis,Futurist
BarbaraHubbard,Futurist
avantgame,Futurist
jcmeister,Futurist
nilofer,Futurist
VenessaMiemis,Futurist
ymsalvatico,Futurist
alexandra4casts,Futurist
nmurphysf,Futurist
knauth2015,Futurist
DrClaireNelson,Futurist
ErOrange,Futurist
isabel_pedersen,Futurist
FaithPopcorn,Futurist
roboshrink,Futurist
katprince,Futurist
mlrhea,Futurist
SaraRobinson,Futurist
afromusing,Futurist
ngcrebecca,Futurist
mariansalzman,Futurist
heathervescent,Futurist
wendyinfutures,Futurist
cecilysommers,Futurist
Suzzle,Futurist
LaBlogga,Futurist
CultureofFuture,Futurist
kathivian,Futurist
digitalfemme,Futurist
CynWag1,Futurist
amywebb,Futurist
WEBfuturetrends,Futurist
StratNarrative,Futurist
neiltyson,Science Stars
ProfBrianCox,Science Stars
RichardDawkins,Science Stars
bengoldacre,Science Stars
BadAstronomer,Science Stars
michiokaku,Science Stars
SamHarrisOrg,Science Stars
HansRosling,Science Stars
timberners_lee,Science Stars
pzmyers,Science Stars
sapinker,Science Stars
RichardWiseman,Science Stars
LKrauss1,Science Stars
Atul_Gawande,Science Stars
OliverSacks,Science Stars
danariely,Science Stars
EricTopol,Science Stars
bgreene,Science Stars
MarcusduSautoy,Science Stars
seanmcarroll,Science Stars
ProfRWinston,Science Stars
RandomSpaceFact,Science Stars
carolynporco,Science Stars
SebastianThrun,Science Stars
phylogenomics,Science Stars
JCVenter,Science Stars
vaughanbell,Science Stars
orbitingfrog,Science Stars
MichaelEMann,Science Stars
Evolutionistrue,Science Stars
kinggary,Science Stars
plutokiller,Science Stars
starstryder,Science Stars
JFGariepy,Science Stars
BobMetcalfe,Science Stars
DanTGilbert,Science Stars
danlevitin,Science Stars
2020science,Science Stars
paulbloomatyale,Science Stars
social_brains,Science Stars
SethShostak,Science Stars
dgmacarthur,Science Stars
JohnAllenPaulos,Science Stars
DrVes,Science Stars
sbaroncohen,Science Stars
AmyMainzer,Science Stars
LabSpaces,Science Stars
kejames,Science Stars
mbeisen,Science Stars
neuroconscience,Science Stars
fcc_cio,Top100 CIOs
kimsstevenson,Top100 CIOs
jcycio,Top100 CIOs
obussmann,Top100 CIOs
reichental,Top100 CIOs
tcrawford,Top100 CIOs
dchou1107,Top100 CIOs
jayferro,Top100 CIOs
RamonFBaez,Top100 CIOs
mdkail,Top100 CIOs
steveatgoodlife,Top100 CIOs
andikaraboutis,Top100 CIOs
landryst,Top100 CIOs
wlassalle,Top100 CIOs
sfcitycio,Top100 CIOs
nflcio,Top100 CIOs
bhaines0,Top100 CIOs
andrewxwilson,Top100 CIOs
doerdi,Top100 CIOs
ALSWharton,Top100 CIOs
S_dF,Top100 CIOs
capriottisjason,Top100 CIOs
rwentechaney,Top100 CIOs
johnlshea,Top100 CIOs
brendacooper,Top100 CIOs
stevengsnyder,Top100 CIOs
DrGPradhan,Top100 CIOs
williamcaraher,Top100 CIOs
mbusigin,Top100 CIOs
westernunioncio,Top100 CIOs
GMFlickinger,Top100 CIOs
nyike,Top100 CIOs
stephenjdowns,Top100 CIOs
mzyw,Top100 CIOs
neiljpearce,Top100 CIOs
s_everaet,Top100 CIOs
amichaelberman,Top100 CIOs
vpfetter,Top100 CIOs
sdfenton,Top100 CIOs
christianMcM,Top100 CIOs
emergingedtech,Top100 CIOs
mskaff,Top100 CIOs
r1chardatron,Top100 CIOs
candidCIO,Top100 CIOs
sappley,Top100 CIOs
kevinbehr,Top100 CIOs
vkellen,Top100 CIOs
oucio,Top100 CIOs
tri4ever,Top100 CIOs
markwcarbone,Top100 CIOs
uwmadisoncio,Top100 CIOs
brettbobley,Top100 CIOs
dralissajay,Top100 CIOs
bobegan,Top100 CIOs
stoddardCA,Top100 CIOs
tomlap,Top100 CIOs
alswharton,Top100 CIOs
cio_baz,Top100 CIOs
_jfeldman,Top100 CIOs
sheilajordan90,Top100 CIOs
peterscampbell,Top100 CIOs
see_eye_oh,Top100 CIOs
brewerma,Top100 CIOs
intheknowCIO,Top100 CIOs
giangonz,Top100 CIOs
ashwinram,Top100 CIOs
thompsonfer,Top100 CIOs
rclemmons,Top100 CIOs
stevenvDC,Top100 CIOs
paulcoby,Top100 CIOs
eddiedonovan,Top100 CIOs
LisaM_Davis,Top100 CIOs
jhalamka,Top100 CIOs
jlubinsky,Top100 CIOs
lcongdon,Top100 CIOs
ravishan,Top100 CIOs
r1chardatron,Top100 CIOs
stukalsky,Top100 CIOs
andriola_UC,Top100 CIOs
chantal_c,Top100 CIOs
aabboud,Top100 CIOs
bsastokas,Top100 CIOs
msobie,Top100 CIOs
cio_adam,Top100 CIOs
_andrethomas_,Top100 CIOs
detroitcio,Top100 CIOs
sgschade,Top100 CIOs
rellinb,Top100 CIOs
kmmore,Top100 CIOs
suydam,Top100 CIOs
eyb,Top100 CIOs
tdanford,Top100 CIOs
kevin_m,Top100 CIOs
_MaryPierce,Tennis
A_Pivovarova,Tennis
Ajlatom,Tennis
akleybanova,Tennis
alekswozniak87,Tennis
AlexDulgheru,Tennis
AlisonVanUytvan,Tennis
alizecornet,Tennis
AlizeLim,Tennis
alizelim,Tennis
AllaK11,Tennis
anabelmedina,Tennis
AnaIvanovic,Tennis
anakonjuh,Tennis
AndreaHlavackov,Tennis
andreapetkovic,Tennis
andreea_mitu,Tennis
AngeliqueKerber,Tennis
ankatati,Tennis
Annagroenefeld,Tennis
annekeothavong,Tennis
ARadwanska,Tennis
Arantxarus,Tennis
arodionova,Tennis
ashbar96,Tennis
ayumi_morita,Tennis
bambamsam30,Tennis
BaraStrycova,Tennis
bartoli_marion,Tennis
BeckAnnika,Tennis
BelindaBencic,Tennis
BillieJeanKing,Tennis
CarlaSuarezNava,Tennis
CaroWozniacki,Tennis
carowozniacki,Tennis
caseydellacqua,Tennis
ChaniScheepers,Tennis
ChrissieEvert,Tennis
ChristinaMcHale,Tennis
Cibulkova,Tennis
cicibellis99,Tennis
Clijsterskim,Tennis
CoCoVandey,Tennis
conchitamartinz,Tennis
Daria_gav,Tennis
destaneeaiava,Tennis
dhantuchova,Tennis
Dinarik27,Tennis
DKasatkina,Tennis
DonnaVekic,Tennis
donnavekic,Tennis
ElenaFoundation,Tennis
elenidaniilidou,Tennis
ElinaSvitolina,Tennis
ErakovicMarina,Tennis
EVesnina001,Tennis
FlaviGise,Tennis
FlipperKF,Tennis
g_voskoboeva,Tennis
GabyDabrowski,Tennis
GarbiMuguruza,Tennis
geniebouchard,Tennis
Gibbsyyyy,Tennis
gidulko,Tennis
gomacro,Tennis
HeatherWatson92,Tennis
hozumieri,Tennis
HuracanGeorgi,Tennis
indydevroome,Tennis
IrinaFalconi,Tennis
IvetaBenesova,Tennis
JaksicJovana,Tennis
Jamie_Hampton,Tennis
jelena_jankovic,Tennis
JenCapriati,Tennis
jennifurbrady95,Tennis
JoKonta91,Tennis
juliaboserup,Tennis
juliagoerges,Tennis
KaPliskova,Tennis
katiejobrien,Tennis
kaylaeday,Tennis
kikibertens,Tennis
KikiMladenovic,Tennis
KrunicAlex,Tennis
laraarrua,Tennis
laurarobson5,Tennis
LaurenDavis93,Tennis
lisaraymond73,Tennis
Louisa_Chirico,Tennis
LTsurenko,Tennis
luciesafarova,Tennis
lucik2105,Tennis
Madison_Keys,Tennis
MagdaLinette,Tennis
Mal_Burdette,Tennis
mandyminella,Tennis
Maria_Tatjana,Tennis
mariasakkari,Tennis
MariaSharapova,Tennis
melanie_oudin,Tennis
melanieoudin17,Tennis
melaniesouth,Tennis
mhingis,Tennis
MichaHoncova,Tennis
MirzaSania,Tennis
misa_eguchi,Tennis
MisakiDoiTennis,Tennis
MisaKrajicek,Tennis
MonicaAce93,Tennis
MonicaSeles10s,Tennis
Moultonlevy,Tennis
Naomi_Osaka_,Tennis
NaomiBroady,Tennis
NastiaPav,Tennis
OFC_MGasparyan,Tennis
OGovortsova,Tennis
oliviarogowska,Tennis
Ons_Jabeur,Tennis
ozarisa7,Tennis
paula_ormaechea,Tennis
Petra_Kvitova,Tennis
petracet,Tennis
petrova_nadia,Tennis
PHShriver,Tennis
PolonaHercog,Tennis
puchkova5,Tennis
PutintsevaYulia,Tennis
queen_v21,Tennis
rennaestubbs,Tennis
Riske4rewards,Tennis
rominaopra,Tennis
RybarikovaMagda,Tennis
sabatinigabyok,Tennis
sabinelisicki,Tennis
SachiaVick,Tennis
samcrawford18,Tennis
sara_sorribes,Tennis
sarahborwell,Tennis
SelimaSfar,Tennis
serenawilliams,Tennis
sharon_fichman,Tennis
Shelby_Rogers_,Tennis
Simona_Halep,Tennis
SloaneStephens,Tennis
Sofia_Arvidsson,Tennis
solerespinosa,Tennis
sorana_cirstea,Tennis
stormsanders94,Tennis
SvetlanaK27,Tennis
tamira1990,Tennis
TaraMoore92,Tennis
TaylorTownsend,Tennis
tennis_jarkag,Tennis
thetracyaustin,Tennis
TimeaBabos,Tennis
TimeaOfficial,Tennis
titatorro,Tennis
TPironkova,Tennis
Varunchik1,Tennis
VDiatchenko,Tennis
Venuseswilliams,Tennis
verocepede,Tennis
vicky_duval95,Tennis
vika7,Tennis
WitthoeftCarina,Tennis
WTARisingStars,Tennis
yaninawickmaye8,Tennis
YungJan_Chan,Tennis
Zheng_Saisai,Tennis
lleytonhewitt,Tennis(Male)
Kon_Krav85,Tennis(Male)
Yimlife1313,Tennis(Male)
AsKaratsev,Tennis(Male)
troicki_viktor,Tennis(Male)
ArthurdeGreef,Tennis(Male)
borna_coric,Tennis(Male)
JasonKubler,Tennis(Male)
MattReid12345,Tennis(Male)
NicoJarry,Tennis(Male)
aisamhqureshi,Tennis(Male)
LuRendy,Tennis(Male)
JamesDuck21,Tennis(Male)
fmergea,Tennis(Male)
jordanthommmo2,Tennis(Male)
mchiudinelli33,Tennis(Male)
JanmikeGambill,Tennis(Male)
jiri_vesely,Tennis(Male)
RaduAlbot,Tennis(Male)
cilic_marin,Tennis(Male)
ThiemDomi,Tennis(Male)
dominglot,Tennis(Male)
AustinKrajicek,Tennis(Male)
Struffitennis,Tennis(Male)
Taylor_Fritz97,Tennis(Male)
jimchardy,Tennis(Male)
hanspodlipnik,Tennis(Male)
klein_brydan,Tennis(Male)
puravraja,Tennis(Male)
David__Goffin,Tennis(Male)
AdrianMannarino,Tennis(Male)
OfficialGoran,Tennis(Male)
tomasberdych,Tennis(Male)
stepec78,Tennis(Male)
rogerfederer,Tennis(Male)
TKokkinakis,Tennis(Male)
andrew_whitt93,Tennis(Male)
NickKyrgios,Tennis(Male)
UlisesBlanch,Tennis(Male)
BautistaAgut,Tennis(Male)
KasiTennis,Tennis(Male)
OJasika,Tennis(Male)
divijsharan,Tennis(Male)
abolt15,Tennis(Male)
AljazBedene,Tennis(Male)
AgusVelotti,Tennis(Male)
johnwpeers,Tennis(Male)
YacaMayer,Tennis(Male)
la_pouille,Tennis(Male)
Leander,Tennis(Male)
DzumhurDamir,Tennis(Male)
DennisNovikov,Tennis(Male)
alexdeminaur,Tennis(Male)
BBakesTennis,Tennis(Male)
pablocarreno91,Tennis(Male)
AndujarPablo,Tennis(Male)
SJohnson_89,Tennis(Male)
FTiafoe,Tennis(Male)
FerVerdasco,Tennis(Male)
AleGonzalezpro,Tennis(Male)
marcpolmans,Tennis(Male)
DelgadoJamie,Tennis(Male)
ReillyOpelka,Tennis(Male)
Evo151216,Tennis(Male)
DavidFerrer87,Tennis(Male)
DodigTennis,Tennis(Male)
AndreBegemann,Tennis(Male)
FrankyMoser,Tennis(Male)
karenkhachanov,Tennis(Male)
charlyberlocq,Tennis(Male)
GuillermoGLopez,Tennis(Male)
albertramos88,Tennis(Male)
TommyPaul1,Tennis(Male)
MikaelYmer,Tennis(Male)
machigonzalez1,Tennis(Male)
Noahrubin33,Tennis(Male)
BjornFratangelo,Tennis(Male)
renzolii,Tennis(Male)
SantiGiraldoSG,Tennis(Male)
BlakeMott96,Tennis(Male)
lukilacko,Tennis(Male)
Jknowle,Tennis(Male)
jasonjungtennis,Tennis(Male)
StefTsitsipas,Tennis(Male)
normansweden,Tennis(Male)
RafaelNadal,Tennis(Male)
jojomelzer,Tennis(Male)
BjorkmanTennis,Tennis(Male)
RobertFarah_,Tennis(Male)
M_Granollers,Tennis(Male)
nenadzim,Tennis(Male)
VasekPospisil,Tennis(Male)
MardyFish,Tennis(Male)
facubagnis,Tennis(Male)
eliasymer,Tennis(Male)
TRobredo,Tennis(Male)
NicoAlmagro,Tennis(Male)
TreatHuey,Tennis(Male)
chlindell91,Tennis(Male)
MRusselltennis,Tennis(Male)
DjokerNole,Tennis(Male)
Liambroady,Tennis(Male)
stefankozlov,Tennis(Male)
juanscabal,Tennis(Male)
filippeliwo,Tennis(Male)
AlejandroFalla,Tennis(Male)
tarodaniel93,Tennis(Male)
Bryanbrothers,Tennis(Male)
johnhmillman,Tennis(Male)
pereribamadrid,Tennis(Male)
BradleyKlahn,Tennis(Male)
flomayer,Tennis(Male)
guidoandreozzi,Tennis(Male)
Stako_tennis,Tennis(Male)
dani_gimeno,Tennis(Male)
deniskudla,Tennis(Male)
Charlymoya,Tennis(Male)
JackSock,Tennis(Male)
dieschwartzman,Tennis(Male)
TursunovTales,Tennis(Male)
TipsarevicJanko,Tennis(Male)
timsmyczek,Tennis(Male)
PabloCuevas22,Tennis(Male)
TommyHaas13,Tennis(Male)
TheBorisBecker,Tennis(Male)
blaz_kavcic,Tennis(Male)
delpotrojuan,Tennis(Male)
feliciano_lopez,Tennis(Male)
Chase_Buchanan,Tennis(Male)
freddienielsen,Tennis(Male)
denis_shapo,Tennis(Male)
picomonaco,Tennis(Male)
jamesmcgee01,Tennis(Male)
mattebden,Tennis(Male)
mbarton16,Tennis(Male)
Kohlscribbler,Tennis(Male)
keinishikori,Tennis(Male)
Mside83,Tennis(Male)
Dutzee,Tennis(Male)
gonzalezsanty,Tennis(Male)
Gael_Monfils,Tennis(Male)
JamesWardtennis,Tennis(Male)
ivokarlovic,Tennis(Male)
AlexWard1990,Tennis(Male)
LukeSaville18,Tennis(Male)
SamGrothTennis,Tennis(Male)
nealskupski,Tennis(Male)
JohnIsner,Tennis(Male)
colin_fleming,Tennis(Male)
kyle8edmund,Tennis(Male)
JimmyConnors,Tennis(Male)
ryanharrison92,Tennis(Male)
RajeevRam,Tennis(Male)
jesselevine7,Tennis(Male)
DinoMarcan,Tennis(Male)
Besterphilip,Tennis(Male)
RSoderling,Tennis(Male)
ebutorac,Tennis(Male)
GrigorDimitrov,Tennis(Male)
SomdevD,Tennis(Male)
KAndersonATP,Tennis(Male)
justingimelstob,Tennis(Male)
milosraonic,Tennis(Male)
AmerDelic,Tennis(Male)
rohanbopanna,Tennis(Male)
Bryanbros,Tennis(Male)
PPolansky,Tennis(Male)
mitch_krueger,Tennis(Male)
wesleykoolhof,Tennis(Male)
henrikontinen,Tennis(Male)
k_skupski,Tennis(Male)
jamie_murray,Tennis(Male)
andy_murray,Tennis(Male)
andyroddick,Tennis(Male)
AlexFGoldberg,Chemists
andrewbissette,Chemists
AnnaMapp,Chemists
AshworthSH,Chemists
AWTaylor83,Chemists
AzaPrins,Chemists
azmanam,Chemists
barneygrubbs,Chemists
bellatronic,Chemists
beth_halford,Chemists
BibianaCampos,Chemists
bstockwell,Chemists
carmendrahl,Chemists
CarolynBertozzi,Chemists
CaverKat,Chemists
cenmag,Chemists
ChemBark,Chemists
ChemConnector,Chemists
ChemDraw,Chemists
ChemicalBiology,Chemists
chemistinjapan,Chemists
Chemjobber,Chemists
ChemProfCramer,Chemists
Chemtips,Chemists
christhechang,Chemists
chronicleflask,Chemists
ClaireEEyers,Chemists
CommonChemist,Chemists
curiouswavefn,Chemists
davidkroll,Chemists
deborahblum,Chemists
declanfleming,Chemists
Dereklowe,Chemists
Dichtel,Chemists
docfreeride,Chemists
Dr_GHill,Chemists
DrRubidium,Chemists
DrStelling,Chemists
emilyreacts,Chemists
emmastoye,Chemists
fluorogrol,Chemists
Free_radical1,Chemists
FunSizeSuze,Chemists
InnocentWal,Chemists
JakeYeston,Chemists
jaspevacek,Chemists
JBuriak,Chemists
JessTheChemist,Chemists
jesswynn93,Chemists
jkemsley,Chemists
Kara_L_Bren,Chemists
karlDcollins,Chemists
KateyBirtcher,Chemists
KayakPhilip,Chemists
kjhaxton,Chemists
L_Howes,Chemists
l_wang_cen,Chemists
laurenkwolf,Chemists
leecronin,Chemists
LeighJKBoerner,Chemists
lisamjarvis,Chemists
Marcel_Swart,Chemists
MatToddChem,Chemists
MrJDexter,Chemists
MustLoveScience,Chemists
NeilWithers,Chemists
Organometallica,Chemists
pchirik,Chemists
PeONor,Chemists
PerditaB,Chemists
peterscott1965,Chemists
ProfArno,Chemists
professor_dave,Chemists
rachelpep,Chemists
RaySchaak,Chemists
reneewebs,Chemists
robajackson,Chemists
RotwangsRobot,Chemists
S_J_Lancaster,Chemists
saraheverts,Chemists
sciencegeist,Chemists
SeeArrOh,Chemists
SellaTheChemist,Chemists
Seneska,Chemists
SerinDabb,Chemists
SimonHiggins_60,Chemists
spscheung,Chemists
SuperScienceGrl,Chemists
susanmvickers,Chemists
TehshikYoon,Chemists
TheCollapsedPsi,Chemists
UnstableIsotope,Chemists
V_Saggiomo,Chemists
wbturnbull,Chemists
WPIBurdette,Chemists
